,Contrast,A,B,Paired,Parametric,U-val,alternative,p-unc,p-corr,p-adjust,hedges
0,Group,MCC Cre +_Basal,MCC Cre +_Distal,False,False,7064.5,two-sided,5.747344131845877e-49,0.0,sidak,-1.7174946295749145
1,Group,MCC Cre +_Basal,MCC Cre +_Proximal,False,False,30712.5,two-sided,0.31870684032764485,0.9968376464062269,sidak,-0.07597056218472531
2,Group,MCC Cre +_Basal,MCC Cre -_Basal,False,False,30870.5,two-sided,3.179675800810245e-07,4.7695030848116104e-06,sidak,0.5069375107657103
3,Group,MCC Cre +_Basal,MCC Cre -_Distal,False,False,11140.5,two-sided,2.3744582188875855e-30,0.0,sidak,-1.1663921160445534
4,Group,MCC Cre +_Basal,MCC Cre -_Proximal,False,False,38897.0,two-sided,3.37123868777138e-08,5.056856838825396e-07,sidak,0.5669204853634056
5,Group,MCC Cre +_Distal,MCC Cre +_Proximal,False,False,73849.5,two-sided,1.9649545697363307e-59,0.0,sidak,1.7742374180729212
6,Group,MCC Cre +_Distal,MCC Cre -_Basal,False,False,58453.0,two-sided,1.5853419373134408e-66,0.0,sidak,2.3239173997274003
7,Group,MCC Cre +_Distal,MCC Cre -_Distal,False,False,46477.0,two-sided,1.538983823473791e-08,2.3084754785518413e-07,sidak,0.39991953667555974
8,Group,MCC Cre +_Distal,MCC Cre -_Proximal,False,False,73956.0,two-sided,1.0475940658434008e-77,0.0,sidak,2.4602688708051352
9,Group,MCC Cre +_Proximal,MCC Cre -_Basal,False,False,44838.5,two-sided,8.615803184492327e-13,1.2922996006636822e-11,sidak,0.6325394594118058
10,Group,MCC Cre +_Proximal,MCC Cre -_Distal,False,False,14856.0,two-sided,3.725504026468138e-36,0.0,sidak,-1.1912924817963864
11,Group,MCC Cre +_Proximal,MCC Cre -_Proximal,False,False,56418.0,two-sided,1.198729712849067e-14,1.7985612998927536e-13,sidak,0.6955219275827182
12,Group,MCC Cre -_Basal,MCC Cre -_Distal,False,False,5284.5,two-sided,7.737310082291347e-54,0.0,sidak,-1.6765715107446657
13,Group,MCC Cre -_Basal,MCC Cre -_Proximal,False,False,30731.0,two-sided,0.9388779717831832,1.0,sidak,0.038840455917427436
14,Group,MCC Cre -_Distal,MCC Cre -_Proximal,False,False,65904.0,two-sided,2.795630805043764e-62,0.0,sidak,1.7872584577247406
