,Contrast,A,B,Paired,Parametric,U-val,alternative,p-unc,p-corr,p-adjust,hedges
0,Group,MCC Cre +_Basal,MCC Cre +_Distal,False,False,6837132.5,two-sided,1.7182348083661542e-76,0.0,sidak,-0.3209259197789471
1,Group,MCC Cre +_Basal,MCC Cre +_Proximal,False,False,4762039.5,two-sided,6.237229536655073e-33,0.0,sidak,-0.24512025284857836
2,Group,MCC Cre +_Basal,MCC Cre -_Basal,False,False,3401314.0,two-sided,0.49933351200646237,0.9999688665073119,sidak,0.0395581749495929
3,Group,MCC Cre +_Basal,MCC Cre -_Distal,False,False,5612151.5,two-sided,1.0944121402593628e-77,0.0,sidak,-0.3318363509326773
4,Group,MCC Cre +_Basal,MCC Cre -_Proximal,False,False,3253569.5,two-sided,5.489463413433882e-46,0.0,sidak,-0.29499346932306664
5,Group,MCC Cre +_Distal,MCC Cre +_Proximal,False,False,13527296.5,two-sided,7.175699442166127e-10,1.0763548385916977e-08,sidak,0.0890810105619188
6,Group,MCC Cre +_Distal,MCC Cre -_Basal,False,False,9303540.0,two-sided,6.88020858625909e-75,0.0,sidak,0.3500310232157282
7,Group,MCC Cre +_Distal,MCC Cre -_Distal,False,False,16341434.0,two-sided,0.4015902597432086,0.9995481650633852,sidak,-0.0015441435032176284
8,Group,MCC Cre +_Distal,MCC Cre -_Proximal,False,False,9369246.0,two-sided,0.05961917303895934,0.6022991782334471,sidak,0.04543162284749491
9,Group,MCC Cre +_Proximal,MCC Cre -_Basal,False,False,5573978.5,two-sided,4.929583870008243e-34,0.0,sidak,0.27852890310539175
10,Group,MCC Cre +_Proximal,MCC Cre -_Distal,False,False,9639323.0,two-sided,2.165970487929023e-11,3.248951108147935e-10,sidak,-0.0920141114808853
11,Group,MCC Cre +_Proximal,MCC Cre -_Proximal,False,False,5541815.0,two-sided,0.0007361897887218395,0.010986120556522594,sidak,-0.0442343349679836
12,Group,MCC Cre -_Basal,MCC Cre -_Distal,False,False,4526673.0,two-sided,1.856569197184561e-76,0.0,sidak,-0.3624149110047232
13,Group,MCC Cre -_Basal,MCC Cre -_Proximal,False,False,2627995.0,two-sided,4.3025680244192775e-47,0.0,sidak,-0.3291572673077931
14,Group,MCC Cre -_Distal,MCC Cre -_Proximal,False,False,7857775.5,two-sided,0.012009756998598678,0.16576225543011414,sidak,0.04767272435274153
