Object ID,Animal,Subregion,Layer,Stub,Tile,Den_Length_um,Den_Width_um,Den_Area_um_sq,Dendrite_ID,Mito_IDs,Mean_mito_area,Mito_total_area,Mito_total_len,N_mitos,Total_mito_area_per_den_area,Total_mito_len_per_den_len
3,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,1.70926,0.812192,1.0742399999999999,3,['11'],0.05472,0.05472,0.379816,1,0.050938337801608585,0.2222107812737676
4,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,2.7128620000000003,1.121336,1.826944,4,['1'],0.246144,0.246144,0.908802,1,0.1347299096195614,0.334997504480508
7,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,1.8448820000000001,0.636804,0.8976,7,['37'],0.031104,0.031104,0.23914,1,0.0346524064171123,0.1296234664330835
8,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,1.7710560000000002,0.7314660000000001,0.910272,8,['19'],0.091136,0.091136,0.367614,1,0.10011952471349223,0.20756768842995363
31,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,8.30029,1.386594,7.999168,31,['26'],0.821888,0.821888,2.7164720000000004,1,0.10274668565530815,0.32727434824566376
35,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,2.108596,1.3171780000000002,1.897408,35,['28'],0.272384,0.272384,1.013164,1,0.14355584038857222,0.4804922327463393
2,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.156858,1.010366,0.8772479999999999,2,"['4', '10']",0.063584,0.127168,0.66854,2,0.1449624279565186,0.577892878814859
5,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,3.132138,0.850264,2.0600959999999997,5,['1'],0.409792,0.409792,0.944848,1,0.19891888533349905,0.30166231500655466
9,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,2.1921,0.970788,1.478656,9,['7'],0.073984,0.073984,0.5490539999999999,1,0.05003462603878116,0.2504694128917476
13,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.8505960000000001,1.027952,1.356352,13,['8'],0.174208,0.174208,0.5748920000000001,1,0.12843863539848063,0.3106523519990317
18,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.9320060000000001,0.6625080000000001,0.974784,18,['32'],0.14368,0.14368,0.5606319999999999,1,0.14739675661479876,0.29018129343283605
22,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.093262,0.7082200000000001,0.585792,22,['6'],0.21337599999999998,0.21337599999999998,0.728,1,0.3642521577624822,0.6658971042622903
23,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,2.450586,0.8131900000000001,1.3013759999999999,23,['14'],0.0992,0.0992,0.47833800000000004,1,0.07622700895052621,0.19519331294637285
29,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.933222,0.424888,0.5552,29,['21'],0.11295999999999999,0.11295999999999999,0.514308,1,0.2034582132564841,0.26603669935475593
34,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.152112,0.8464360000000001,0.68512,34,"['33', '37']",0.121088,0.242176,1.054434,2,0.3534796823914059,0.9152183121085451
36,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.58035,1.26548,1.2007679999999998,36,['35'],0.177344,0.177344,0.729704,1,0.14769214369470207,0.4617356914607524
6,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,1.372362,0.8611280000000001,0.829696,6,['4'],0.138176,0.138176,0.45113600000000004,1,0.16653810552298673,0.32872959175494515
8,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,1.621712,0.825682,0.8673919999999999,8,['1'],0.065216,0.065216,0.31802600000000003,1,0.075186305614993,0.19610510374221812
12,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,4.204056,1.404344,4.195968,12,['2'],0.129472,0.129472,0.660876,1,0.03085628870382234,0.1571996186539856
21,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,3.071564,0.91323,2.1533439999999997,21,['22'],0.180992,0.180992,0.605194,1,0.08405159602924568,0.1970312192746106
23,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,2.355766,0.945652,1.407552,23,"['9', '19']",0.17087999999999998,0.34175999999999995,1.703102,2,0.2428045287136816,0.7229504118830138
26,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,2.7548939999999997,0.9486180000000001,1.443072,26,['11'],0.155584,0.155584,0.5165299999999999,1,0.10781444030512685,0.18749541724654378
29,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,2.1367040000000004,0.74282,1.155008,29,['28'],0.148864,0.148864,0.54847,1,0.12888568737186235,0.25668974270652367
43,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-001.tif,3.133152,0.773614,1.8288639999999998,43,['30'],0.20895999999999998,0.20895999999999998,0.867052,1,0.11425671892497201,0.2767347386912605
4,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,1.6189200000000001,1.160462,0.9710719999999999,4,['9'],0.041664,0.041664,0.322894,1,0.04290516048243591,0.1994502507844736
7,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,3.148034,1.5148760000000001,3.315712,7,['14'],0.177792,0.177792,0.595022,1,0.05362106238418777,0.18901384165482332
11,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,1.518922,0.8699880000000001,1.0005119999999998,11,['16'],0.073472,0.073472,0.39517,1,0.07343440158638778,0.2601647747547274
21,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,2.2262660000000003,0.924866,1.169792,21,['29'],0.1376,0.1376,0.6276079999999999,1,0.11762774920669658,0.2819106072679544
5,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,1.759346,0.786122,1.071168,5,['4'],0.10700799999999999,0.10700799999999999,0.61072,1,0.09989842863117644,0.34712898997695735
10,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,2.170614,0.653934,1.015936,10,['2'],0.17312,0.17312,0.7874140000000001,1,0.17040443492503465,0.3627609515095729
11,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,2.089518,0.8883300000000001,1.390272,11,"['1', '15']",0.175872,0.351744,1.23522,2,0.25300372876674493,0.5911506864262476
16,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,1.287268,0.631148,0.639296,16,['13'],0.116672,0.116672,0.632608,1,0.1825007508259085,0.49143457306481625
19,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,2.4061260000000004,0.739364,1.180928,19,['7'],0.406976,0.406976,1.3358320000000001,1,0.3446238890093215,0.5551795708121685
25,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,4.16883,1.206242,2.8340479999999997,25,['12'],0.177856,0.177856,0.813616,1,0.06275687638318053,0.19516650954824255
28,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,1.004694,0.8211,0.615808,28,['36'],0.041152,0.041152,0.26585000000000003,1,0.06682602369569736,0.2646079303748206
30,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,1.384092,0.8627360000000001,0.858752,30,"['29', '32']",0.11382400000000001,0.22764800000000002,0.847502,2,0.2650916679087793,0.6123162333139704
34,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,1.608274,0.592296,0.577664,34,['33'],0.055872,0.055872,0.29944600000000005,1,0.09672058497673389,0.1861909102553421
38,MCC270,CA2,Basal,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,6.333936,1.147412,5.09056,38,"['31', '42']",0.290016,0.580032,2.576896,2,0.1139426703545386,0.40683960178947187
