Subregion,,CA1,CA1,CA1,CA2,CA2,CA2
Layer,,Basal,Proximal,Distal,Basal,Proximal,Distal
Den_Width_um,mean,0.8345791964980545,0.8963885563665857,0.8166869061962134,0.9901480944148936,1.0145618587948875,0.8719665064209939
Den_Width_um,median,0.7789849999999999,0.781308,0.7625219999999999,0.9435680000000001,0.935978,0.817553
Den_Width_um,std,0.254462517321742,0.34695767339934563,0.24545416154538163,0.3055488564284502,0.3625103586161765,0.26117013493818686
Den_Width_um,count,1028.0,1233.0,2324.0,1504.0,1643.0,3582.0
Den_Length_um,mean,1.9019744066147861,2.0748790024330903,1.9386735619621343,2.2610763723404257,2.5681865246500304,2.288411156895589
Den_Length_um,median,1.57786,1.7434880000000001,1.646089,1.884423,2.079978,1.850848
Den_Length_um,std,0.9243983508554745,1.0069791842496125,0.9284669691460044,1.3058392347493013,1.6515645421392666,1.4165702972560215
Den_Length_um,count,1028.0,1233.0,2324.0,1504.0,1643.0,3582.0
Den_Area_um_sq,mean,1.2345719772178987,1.5742296896155716,1.1815266595989673,1.6243200425531914,1.9991159975654291,1.4380995466219988
Den_Area_um_sq,median,0.8586879999999999,0.9119999999999999,0.859904,1.216672,1.3122559999999999,1.055136
Den_Area_um_sq,std,1.4241322548564628,1.8237355044398664,1.0404763629097273,1.2917470275894096,1.9214391736928857,1.202495836542337
Den_Area_um_sq,count,1028.0,1233.0,2324.0,1504.0,1643.0,3582.0
Mito_total_area,mean,0.18754826459143967,0.1723408609083536,0.21227225562478483,0.24812855319148935,0.22457744126597687,0.2582776817420435
Mito_total_area,median,0.148032,0.13344,0.154272,0.19478399999999998,0.159808,0.181888
Mito_total_area,std,0.1464634378860147,0.1409141622106044,0.2012216974829055,0.19841272244324418,0.20604982141195763,0.24208774652664122
Mito_total_area,count,1028.0,1233.0,2324.0,1504.0,1643.0,3582.0
Total_mito_area_per_den_area,mean,0.184716918956431,0.161722716379136,0.19675800588326317,0.18041551767466946,0.14993751505715516,0.1948581739477694
Total_mito_area_per_den_area,median,0.16018826857549692,0.14338594416739497,0.1775512103875458,0.15305518681545582,0.12578334825425247,0.17534874947263662
Total_mito_area_per_den_area,std,0.1143038628248057,0.10631754595249762,0.10705888393120257,0.11731371747887487,0.10362250416144496,0.10660571939740465
Total_mito_area_per_den_area,count,1028.0,1233.0,2324.0,1504.0,1643.0,3582.0
Mito_total_len,mean,0.7095565252918289,0.7290410948905109,0.8840983080895009,0.8102923111702128,0.887509189287888,0.9572997219430486
Mito_total_len,median,0.575212,0.571822,0.651545,0.67814,0.666528,0.723657
Mito_total_len,std,0.4841550883334984,0.5278707108715517,0.7625798021722396,0.5155303206226965,0.7342292391367985,0.769449162452781
Mito_total_len,count,1028.0,1233.0,2324.0,1504.0,1643.0,3582.0
Total_mito_len_per_den_len,mean,0.38606209210485776,0.3680286303941712,0.44981886843636687,0.3857089279089737,0.36922645479437893,0.42415117891829185
Total_mito_len_per_den_len,median,0.36129049930802176,0.34444757035729184,0.4045353823339777,0.36007637734266507,0.33950211440541667,0.39807058123595196
Total_mito_len_per_den_len,std,0.15560842672300318,0.1642735933343426,0.21886090906502728,0.17344368766223048,0.17827499742906694,0.17334130056165353
Total_mito_len_per_den_len,count,1028.0,1233.0,2324.0,1504.0,1643.0,3582.0
