Mito_ID,Image origin,Subregion,Class,Area,Eccentricity,Length of Major Axis,Length of Minor Axis,Perimeter,Feret Diameter Maximum,Orientation,Solidity,X Position,Y Position,Average Intensity (channel 1),Model Score,Dendritic mitochondria overlap with Dendrite Object,Dendrite Object parent ID,Number of Dendritic mitochondria within Dendrite Object,Genotype,Layer,Animal,Stub,Tile,Area_um_sq,Major_Length_um,Minor_Length_um,Perimeter_um,Feret_diam_um,Aspect_Ratio,Section_ID,Location,NN_Dist,NN_ID,NN_Dist_um,Tile_ID,Den_Area_um_sq,Den_Length_um,Den_Width_um,Dendrite_ID,Mito_len_per_den_len,Mito_area_per_den_area
11,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,CA2,Dendritic mitochondria,13680.0,0.869,189.814,93.769,531.598,189.908,-0.064,0.969,2158.81,1608.789,82.578,0.991,,3.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,0.05472,0.379628,0.187538,1.063196,0.379816,2.02,MCC270_Stub 1 dot,"[2158.81, 1608.789]",771.4860340932946,1,1.5429720681865893,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,1.0742399999999999,1.70926,0.812192,3,0.2222107812737676,0.050938337801608585
1,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,CA2,Dendritic mitochondria,61536.0,0.915,447.232,179.939,1226.409,454.401,-0.231,0.97,2640.385,1006.065,88.153,1.0,,4.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,0.246144,0.894464,0.359878,2.452818,0.908802,2.49,MCC270_Stub 1 dot,"[2640.385, 1006.065]",771.4860340932946,11,1.5429720681865893,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,1.826944,2.7128620000000003,1.121336,4,0.334997504480508,0.1347299096195614
37,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,CA2,Dendritic mitochondria,7776.0,0.654,115.127,87.092,381.355,119.57,0.58,0.954,3281.755,3821.739,79.752,0.726,,7.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,0.031104,0.230254,0.174184,0.76271,0.23914,1.32,MCC270_Stub 1 dot,"[3281.755, 3821.739]",2087.793130707159,34,4.175586261414318,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,0.8976,1.8448820000000001,0.636804,7,0.1296234664330835,0.0346524064171123
19,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,CA2,Dendritic mitochondria,22784.0,0.434,179.696,161.915,643.397,183.807,0.071,0.971,1598.006,715.539,80.751,0.831,,8.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,0.091136,0.359392,0.32383,1.2867940000000002,0.367614,1.11,MCC270_Stub 1 dot,"[1598.006, 715.539]",1047.4375020611017,15,2.0948750041222035,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,0.910272,1.7710560000000002,0.7314660000000001,8,0.20756768842995363,0.10011952471349223
26,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,CA2,Dendritic mitochondria,205472.0,0.991,1504.519,196.918,3231.262,1358.236,0.072,0.84,4383.074,1886.285,92.022,1.0,,31.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,0.821888,3.009038,0.393836,6.462524,2.7164720000000004,7.64,MCC270_Stub 1 dot,"[4383.074, 1886.285]",440.32482260826464,34,0.8806496452165293,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,7.999168,8.30029,1.386594,31,0.32727434824566376,0.10274668565530815
28,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,CA2,Dendritic mitochondria,68096.0,0.94,505.225,172.901,1409.605,506.582,-0.806,0.97,5425.389,379.416,87.623,1.0,,35.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,0.272384,1.01045,0.34580200000000005,2.81921,1.013164,2.92,MCC270_Stub 1 dot,"[5425.389, 379.416]",1832.2321748037286,26,3.6644643496074574,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_007-003.tif,1.897408,2.108596,1.3171780000000002,35,0.4804922327463393,0.14355584038857222
4,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,16048.0,0.677,166.905,122.892,544.083,168.122,0.033,0.968,2397.265,1545.903,86.31,1.0,,2.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.064192,0.33381,0.245784,1.088166,0.33624400000000004,1.36,MCC270_Stub 1 dot,"[2397.265, 1545.903]",245.4078061696488,10,0.4908156123392976,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.8772479999999999,1.156858,1.010366,2,0.290652785389391,0.07317429050849932
10,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,15744.0,0.559,156.516,129.73,542.912,166.148,0.903,0.961,2194.317,1683.878,88.507,0.999,,2.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.06297599999999999,0.313032,0.25945999999999997,1.0858240000000001,0.332296,1.21,MCC270_Stub 1 dot,"[2194.317, 1683.878]",245.4078061696488,4,0.4908156123392976,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.8772479999999999,1.156858,1.010366,2,0.28724009342546797,0.07178813744801926
1,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,102448.0,0.768,451.911,289.29,1445.321,472.424,-0.483,0.979,458.406,1162.22,91.394,1.0,,5.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.409792,0.903822,0.5785800000000001,2.8906419999999997,0.944848,1.56,MCC270_Stub 1 dot,"[458.406, 1162.22]",1450.246332404602,21,2.9004926648092044,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,2.0600959999999997,3.132138,0.850264,5,0.30166231500655466,0.19891888533349905
7,MCC Cre -/Basal/MCC270/Stub 1 dot/Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,CA2,Dendritic mitochondria,18496.0,0.949,281.911,88.613,771.581,274.527,-0.85,0.906,1254.126,3626.929,71.227,1.0,,9.0,,MCC Cre -,Basal,MCC270,Stub 1 dot,Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,0.073984,0.563822,0.177226,1.5431620000000001,0.5490539999999999,3.18,MCC270_Stub 1 dot,"[1254.126, 3626.929]",826.9568725665205,12,1.653913745133041,CA2_Farris 270-B Stub 1 dot Basal_Q4_Tile_006-005.tif,1.478656,2.1921,0.970788,9,0.2504694128917476,0.05003462603878116
