Animal,Subregion,Layer,Area_um_sq,Mito_area_per_den_area,Feret_diam_um,Mito_len_per_den_len,Mito_Count,Tile_Count,Num_mitos_per_tile,Den_Area_um_sq,Den_Length_um
MCC270,CA1,Basal,0.175872,0.193670451,0.620454,0.397725091,99,25,4,0.79392,1.618682
MCC270,CA1,Proximal,0.136832,0.118696004,0.584645,0.293813799,116,28,4.1,1.131008,2.106474
MCC270,CA1,Distal,0.127488,0.12807464,0.549622,0.310383907,325,30,10.8,0.963264,1.729422
MCC270,CA2,Basal,0.164416,0.137991114,0.620442,0.322188956,567,73,7.8,1.04992,1.778162
MCC270,CA2,Proximal,0.1528,0.074770816,0.645639,0.2378002,556,92,6,1.670464,2.38
MCC270,CA2,Distal,0.186528,0.159359377,0.713036,0.357503067,1014,80,12.7,1.055072,1.904927
MCC273,CA1,Basal,0.12896,0.125529392,0.546806,0.313715286,751,71,10.6,0.915488,1.648861
MCC273,CA1,Proximal,0.121088,0.129134905,0.558585,0.316324589,918,95,9.7,0.876736,1.71879
MCC273,CA1,Distal,0.123776,0.129997662,0.534658,0.32223821,1791,90,19.9,0.865344,1.64637
MCC273,CA2,Basal,0.150144,0.108766725,0.55656,0.285316106,788,77,10.2,1.304032,1.917262
MCC273,CA2,Proximal,0.122624,0.083801973,0.53714,0.271338334,815,94,8.7,1.263552,2.00227
MCC273,CA2,Distal,0.140096,0.124212936,0.596608,0.326765378,1779,92,19.3,1.085056,1.84007
MCC276,CA1,Basal,0.139488,0.163872386,0.544501,0.340982796,294,56,5.2,0.768896,1.474158
MCC276,CA1,Proximal,0.114752,0.110141679,0.491138,0.279677707,367,65,5.6,0.91648,1.71327
MCC276,CA1,Distal,0.118208,0.131170208,0.527412,0.3261298,901,56,16.1,0.819456,1.621267
MCC276,CA2,Basal,0.186624,0.121597681,0.641152,0.286554455,465,71,6.5,1.298432,1.981652
MCC276,CA2,Proximal,0.14176,0.107257964,0.583798,0.286280852,697,91,7.7,1.227712,1.95018
MCC276,CA2,Distal,0.164352,0.148385308,0.638952,0.342029438,1493,88,17,1.018304,1.833128
