Subregion,,CA1,CA1,CA1,CA2,CA2,CA2
Layer,,Basal,Proximal,Distal,Basal,Proximal,Distal
Den_Length_um,count,1033.0,1238.0,2324.0,1509.0,1643.0,3584.0
Den_Length_um,mean,1.8998078509196517,2.0727073521809367,1.9386735619621343,2.2627672564612324,2.5681865246500304,2.2878001378348216
Den_Length_um,std,0.9229375109379028,1.0058234794912286,0.9284669691460044,1.3053975679158105,1.651564542139267,1.4164115390652603
Den_Length_um,min,0.8002720000000001,0.7977960000000001,0.8101780000000001,0.8053440000000001,0.802808,0.773524
Den_Length_um,25%,1.2344140000000001,1.2869305,1.2536795,1.416074,1.4419309999999999,1.3791195000000003
Den_Length_um,50%,1.5773160000000002,1.743332,1.646089,1.8858160000000002,2.079978,1.850487
Den_Length_um,75%,2.2617800000000003,2.578919,2.342578,2.666174,3.066687,2.6690005
Den_Length_um,max,5.145386,5.484584,5.5106660000000005,11.681802,12.721694,12.503838
Den_Width_um,count,1033.0,1238.0,2324.0,1509.0,1643.0,3584.0
Den_Width_um,mean,0.8346926660212971,0.8953147092084006,0.8166869061962134,0.9907826812458581,1.0145618587948875,0.8718965066964286
Den_Width_um,std,0.2542301831471868,0.34689553199037987,0.24545416154538177,0.3058406059100377,0.36251035861617625,0.261117759903839
Den_Width_um,min,0.34202800000000005,0.3207,0.286926,0.282618,0.363798,0.29532
Den_Width_um,25%,0.65865,0.6413535,0.6475879999999999,0.75825,0.723919,0.6888765
Den_Width_um,50%,0.7798959999999999,0.7810239999999999,0.7625219999999999,0.94547,0.935978,0.817455
Den_Width_um,75%,0.955646,1.074611,0.9285615,1.1838,1.2700010000000002,1.0107325
Den_Width_um,max,1.8818620000000001,1.8977439999999999,1.896592,1.884366,1.896244,1.8954380000000002
Den_Area_um_sq,count,1033.0,1238.0,2324.0,1509.0,1643.0,3584.0
Den_Area_um_sq,mean,1.2331650963988383,1.5704053693828754,1.1815266595989673,1.6260460914512922,1.9991159975654291,1.4376599285714289
Den_Area_um_sq,std,1.4210750566962052,1.821052999997254,1.0404763629097262,1.2912228047577774,1.9214391736928844,1.2023066232602417
Den_Area_um_sq,min,0.400192,0.401728,0.400192,0.400576,0.400704,0.400256
Den_Area_um_sq,25%,0.6079359999999999,0.595056,0.596208,0.775168,0.7447039999999999,0.693952
Den_Area_um_sq,50%,0.859968,0.9083519999999999,0.859904,1.218432,1.3122559999999999,1.054784
Den_Area_um_sq,75%,1.372736,1.8161919999999998,1.3761279999999998,2.029696,2.544448,1.7152319999999999
Den_Area_um_sq,max,32.137782787999996,17.657225375999996,15.046513127999999,12.606143999999999,17.790143999999998,11.528576
Num_mitos_in_dendrite,count,1033.0,1238.0,2324.0,1509.0,1643.0,3584.0
Num_mitos_in_dendrite,mean,1.112294288480155,1.135702746365105,1.2981927710843373,1.2094102054340623,1.2586731588557516,1.1969866071428572
Num_mitos_in_dendrite,std,0.4233653728067143,0.44157608752707617,0.641629574124432,0.536361140092515,0.6150091388397823,0.4924570461744594
Num_mitos_in_dendrite,min,1.0,1.0,1.0,1.0,1.0,1.0
Num_mitos_in_dendrite,25%,1.0,1.0,1.0,1.0,1.0,1.0
Num_mitos_in_dendrite,50%,1.0,1.0,1.0,1.0,1.0,1.0
Num_mitos_in_dendrite,75%,1.0,1.0,1.0,1.0,1.0,1.0
Num_mitos_in_dendrite,max,6.0,5.0,7.0,5.0,5.0,5.0
