,,Area_um_sq,Area_um_sq,Area_um_sq,Area_um_sq,Area_um_sq,Area_um_sq,Area_um_sq,Area_um_sq
,,count,mean,std,min,25%,50%,75%,max
Animal,Layer,,,,,,,,
MCC270,Basal,666.0,0.20475137537537538,0.14497213792929217,0.019776,0.096944,0.16531200000000001,0.272368,1.025728
MCC270,Proximal,672.0,0.1940528571428571,0.1580932840868786,0.021311999999999998,0.09087999999999999,0.149696,0.23592,1.327488
MCC270,Distal,1339.0,0.22420791635548915,0.18815098433550775,0.021632,0.09651199999999999,0.166272,0.287008,1.66624
MCC273,Basal,1539.0,0.1748879636127355,0.12735367590518576,0.011072,0.087456,0.138688,0.22310399999999997,1.214016
MCC273,Proximal,1733.0,0.15816255366416618,0.12466169937135989,0.011776,0.083072,0.121664,0.190272,1.347456
MCC273,Distal,3570.0,0.18057838945546217,0.15940804523925345,0.011647999999999999,0.087936,0.13142399999999999,0.21523199999999998,1.929536
MCC276,Basal,759.0,0.21142024769433462,0.1589775198350352,0.011968,0.09888,0.161984,0.27792,1.091712
MCC276,Proximal,1064.0,0.16633251127819548,0.12368575345664196,0.018175999999999998,0.085296,0.130112,0.211136,0.9970559999999999
MCC276,Distal,2394.0,0.19782461475187968,0.16424227564353988,0.011392,0.089728,0.14448,0.248352,1.6004479999999999
