,,Feret_diam_um,Feret_diam_um,Feret_diam_um,Feret_diam_um,Feret_diam_um,Feret_diam_um,Feret_diam_um,Feret_diam_um
,,count,mean,std,min,25%,50%,75%,max
Animal,Layer,,,,,,,,
MCC270,Basal,666.0,0.6917217117117117,0.34539161969768534,0.175236,0.446367,0.620448,0.836803,2.838326
MCC270,Proximal,672.0,0.7584266577380954,0.4807427063068735,0.21246199999999998,0.4672795,0.63161,0.8830210000000001,4.265283999999999
MCC270,Distal,1339.0,0.8095262643764003,0.5330798890834798,0.190378,0.47657499999999997,0.666048,0.9622280000000001,5.65919
MCC273,Basal,1539.0,0.6320396114359974,0.32703306755964967,0.17256800000000003,0.41398999999999997,0.551496,0.75066,3.710818
MCC273,Proximal,1733.0,0.6663083866128102,0.4270370930145089,0.19804,0.41951,0.550408,0.76154,5.198532
MCC273,Distal,3570.0,0.7325887478991597,0.5260959712953498,0.211206,0.422513,0.5723590000000001,0.8331425,6.280536000000001
MCC276,Basal,759.0,0.6781398181818182,0.35953992532793416,0.1805,0.431105,0.5869,0.8386530000000001,3.792516
MCC276,Proximal,1064.0,0.6510433458646616,0.3676538971951545,0.177504,0.4189405,0.549795,0.772669,3.2060100000000005
MCC276,Distal,2394.0,0.745361142021721,0.48255771100166706,0.21540600000000001,0.43150150000000004,0.600376,0.891624,4.51044
