Layer,Area_um_sq,Group,Metric
Basal,0.170528,MCC Cre +,Area_um_sq
Basal,0.127744,MCC Cre +,Area_um_sq
Basal,0.1696,MCC Cre +,Area_um_sq
Basal,0.137216,MCC Cre +,Area_um_sq
Basal,0.1692799999999999,MCC Cre +,Area_um_sq
Basal,0.144,MCC Cre +,Area_um_sq
Basal,0.114048,MCC Cre +,Area_um_sq
Basal,0.112768,MCC Cre +,Area_um_sq
Basal,0.110592,MCC Cre +,Area_um_sq
Basal,0.11584,MCC Cre +,Area_um_sq
Basal,0.146944,MCC Cre +,Area_um_sq
Basal,0.117184,MCC Cre +,Area_um_sq
Basal,0.144128,MCC Cre +,Area_um_sq
Basal,0.13792,MCC Cre +,Area_um_sq
Basal,0.144256,MCC Cre +,Area_um_sq
Basal,0.1333119999999999,MCC Cre +,Area_um_sq
Basal,0.12064,MCC Cre +,Area_um_sq
Basal,0.104768,MCC Cre +,Area_um_sq
Basal,0.14592,MCC Cre +,Area_um_sq
Basal,0.14755200000000002,MCC Cre +,Area_um_sq
Basal,0.12448,MCC Cre +,Area_um_sq
Basal,0.2443519999999999,MCC Cre +,Area_um_sq
Basal,0.1345279999999999,MCC Cre +,Area_um_sq
Basal,0.1333119999999999,MCC Cre +,Area_um_sq
Basal,0.136192,MCC Cre +,Area_um_sq
Basal,0.177344,MCC Cre +,Area_um_sq
Basal,0.114688,MCC Cre +,Area_um_sq
Basal,0.1088639999999999,MCC Cre +,Area_um_sq
Basal,0.153728,MCC Cre +,Area_um_sq
Basal,0.153728,MCC Cre +,Area_um_sq
Basal,0.100224,MCC Cre +,Area_um_sq
Basal,0.123328,MCC Cre +,Area_um_sq
Basal,0.1909759999999999,MCC Cre +,Area_um_sq
Basal,0.145792,MCC Cre +,Area_um_sq
Basal,0.18054399999999998,MCC Cre +,Area_um_sq
Basal,0.1429119999999999,MCC Cre +,Area_um_sq
Basal,0.137216,MCC Cre +,Area_um_sq
Basal,0.1237119999999999,MCC Cre +,Area_um_sq
Basal,0.151936,MCC Cre +,Area_um_sq
Basal,0.1351679999999999,MCC Cre +,Area_um_sq
Basal,0.1539839999999999,MCC Cre +,Area_um_sq
Basal,0.2026879999999999,MCC Cre +,Area_um_sq
Basal,0.118208,MCC Cre +,Area_um_sq
Basal,0.134912,MCC Cre +,Area_um_sq
Basal,0.135872,MCC Cre +,Area_um_sq
Basal,0.130816,MCC Cre +,Area_um_sq
Basal,0.140992,MCC Cre +,Area_um_sq
Basal,0.16288,MCC Cre +,Area_um_sq
Basal,0.129472,MCC Cre +,Area_um_sq
Basal,0.151552,MCC Cre +,Area_um_sq
Basal,0.143872,MCC Cre +,Area_um_sq
Basal,0.1172479999999999,MCC Cre +,Area_um_sq
Basal,0.133568,MCC Cre +,Area_um_sq
Basal,0.153728,MCC Cre +,Area_um_sq
Basal,0.1443839999999999,MCC Cre +,Area_um_sq
Basal,0.1055359999999999,MCC Cre +,Area_um_sq
Basal,0.191104,MCC Cre +,Area_um_sq
Basal,0.122496,MCC Cre +,Area_um_sq
Basal,0.125056,MCC Cre +,Area_um_sq
Basal,0.2490879999999999,MCC Cre +,Area_um_sq
Basal,0.167232,MCC Cre +,Area_um_sq
Basal,0.13792,MCC Cre +,Area_um_sq
Basal,0.1214079999999999,MCC Cre +,Area_um_sq
Basal,0.119104,MCC Cre +,Area_um_sq
Basal,0.157056,MCC Cre +,Area_um_sq
Basal,0.171264,MCC Cre +,Area_um_sq
Basal,0.139648,MCC Cre +,Area_um_sq
Basal,0.1669759999999999,MCC Cre +,Area_um_sq
Basal,0.1353599999999999,MCC Cre +,Area_um_sq
Basal,0.167744,MCC Cre +,Area_um_sq
Basal,0.146368,MCC Cre +,Area_um_sq
Basal,0.163776,MCC Cre +,Area_um_sq
Basal,0.1278719999999999,MCC Cre +,Area_um_sq
Basal,0.134912,MCC Cre +,Area_um_sq
