Layer,Area_um_sq,Group,Metric
Basal,0.1616,MCC Cre -,Area_um_sq
Basal,0.177792,MCC Cre -,Area_um_sq
Basal,0.1849599999999999,MCC Cre -,Area_um_sq
Basal,0.1568,MCC Cre -,Area_um_sq
Basal,0.13888,MCC Cre -,Area_um_sq
Basal,0.159872,MCC Cre -,Area_um_sq
Basal,0.1616,MCC Cre -,Area_um_sq
Basal,0.148864,MCC Cre -,Area_um_sq
Basal,0.132096,MCC Cre -,Area_um_sq
Basal,0.134848,MCC Cre -,Area_um_sq
Basal,0.162816,MCC Cre -,Area_um_sq
Basal,0.163072,MCC Cre -,Area_um_sq
Basal,0.143296,MCC Cre -,Area_um_sq
Basal,0.1665279999999999,MCC Cre -,Area_um_sq
Basal,0.1984,MCC Cre -,Area_um_sq
Basal,0.149568,MCC Cre -,Area_um_sq
Basal,0.153536,MCC Cre -,Area_um_sq
Basal,0.130496,MCC Cre -,Area_um_sq
Basal,0.194816,MCC Cre -,Area_um_sq
Basal,0.161984,MCC Cre -,Area_um_sq
Basal,0.185024,MCC Cre -,Area_um_sq
Basal,0.147328,MCC Cre -,Area_um_sq
Basal,0.154304,MCC Cre -,Area_um_sq
Basal,0.2133759999999999,MCC Cre -,Area_um_sq
Basal,0.16671999999999998,MCC Cre -,Area_um_sq
Basal,0.129024,MCC Cre -,Area_um_sq
Basal,0.2094079999999999,MCC Cre -,Area_um_sq
Basal,0.129024,MCC Cre -,Area_um_sq
Basal,0.1504,MCC Cre -,Area_um_sq
Basal,0.14918399999999993,MCC Cre -,Area_um_sq
Basal,0.259392,MCC Cre -,Area_um_sq
Basal,0.17664,MCC Cre -,Area_um_sq
Basal,0.1665279999999999,MCC Cre -,Area_um_sq
Basal,0.157184,MCC Cre -,Area_um_sq
Basal,0.13952,MCC Cre -,Area_um_sq
Basal,0.145664,MCC Cre -,Area_um_sq
Basal,0.1353599999999999,MCC Cre -,Area_um_sq
Basal,0.1617279999999999,MCC Cre -,Area_um_sq
Basal,0.1245439999999999,MCC Cre -,Area_um_sq
Basal,0.1899519999999999,MCC Cre -,Area_um_sq
Basal,0.146368,MCC Cre -,Area_um_sq
Basal,0.14912,MCC Cre -,Area_um_sq
Basal,0.139456,MCC Cre -,Area_um_sq
Basal,0.146304,MCC Cre -,Area_um_sq
Basal,0.1696,MCC Cre -,Area_um_sq
Basal,0.15744,MCC Cre -,Area_um_sq
Basal,0.1500159999999999,MCC Cre -,Area_um_sq
Basal,0.135424,MCC Cre -,Area_um_sq
Basal,0.138752,MCC Cre -,Area_um_sq
Basal,0.161472,MCC Cre -,Area_um_sq
Basal,0.1615359999999999,MCC Cre -,Area_um_sq
Basal,0.13408,MCC Cre -,Area_um_sq
Basal,0.17257599999999995,MCC Cre -,Area_um_sq
Basal,0.198592,MCC Cre -,Area_um_sq
Basal,0.149568,MCC Cre -,Area_um_sq
Basal,0.143296,MCC Cre -,Area_um_sq
Basal,0.15072,MCC Cre -,Area_um_sq
Basal,0.14496,MCC Cre -,Area_um_sq
Basal,0.182592,MCC Cre -,Area_um_sq
Basal,0.169984,MCC Cre -,Area_um_sq
Basal,0.147328,MCC Cre -,Area_um_sq
Basal,0.153408,MCC Cre -,Area_um_sq
Basal,0.16544,MCC Cre -,Area_um_sq
Basal,0.1571199999999999,MCC Cre -,Area_um_sq
Basal,0.178816,MCC Cre -,Area_um_sq
Basal,0.178176,MCC Cre -,Area_um_sq
Basal,0.1407999999999999,MCC Cre -,Area_um_sq
Basal,0.242304,MCC Cre -,Area_um_sq
Basal,0.125888,MCC Cre -,Area_um_sq
Basal,0.155328,MCC Cre -,Area_um_sq
Basal,0.133632,MCC Cre -,Area_um_sq
Basal,0.1556479999999999,MCC Cre -,Area_um_sq
Basal,0.185024,MCC Cre -,Area_um_sq
Basal,0.168896,MCC Cre -,Area_um_sq
Basal,0.137856,MCC Cre -,Area_um_sq
Basal,0.178176,MCC Cre -,Area_um_sq
Basal,0.128384,MCC Cre -,Area_um_sq
Basal,0.13088,MCC Cre -,Area_um_sq
Basal,0.125824,MCC Cre -,Area_um_sq
Basal,0.16195199999999998,MCC Cre -,Area_um_sq
Basal,0.221568,MCC Cre -,Area_um_sq
Basal,0.162816,MCC Cre -,Area_um_sq
Basal,0.138368,MCC Cre -,Area_um_sq
Basal,0.12976,MCC Cre -,Area_um_sq
