Genotype,Animal,Layer,Area_um_sq,Major_Length_um,Minor_Length_um,Feret_diam_um,Aspect_Ratio,Perimeter_um,NN_Dist_um,Norm_Area,Norm_Diam,Norm_Aspect,Norm_Dist,Count_100um2,Total_Count,Tiles_per_Animal,Total_Area_um_sq,Total_mito_mass,Total_mito_mass_per_area
MCC Cre -,MCC270,Basal,0.156,0.604,0.322,0.611,1.655,1.863,1.498,0.775,0.82,0.71,0.98,10.0,748,73,7300,151.528256,0.020757295342465752
MCC Cre -,MCC270,Proximal,0.153,0.649,0.296,0.655,2.07,1.892,1.77,0.76,0.88,0.89,1.15,8.0,745,92,9200,150.300352,0.016336994782608697
MCC Cre -,MCC270,Distal,0.178,0.7,0.327,0.705,2.05,2.049,1.343,0.88,0.94,0.88,0.88,15.0,1269,80,8000,304.617984,0.038077247999999994
MCC Cre -,MCC273,Basal,0.145,0.546,0.329,0.553,1.51,1.713,1.355,0.72,0.74,0.65,0.88,12.0,980,77,7700,181.176704,0.02352944207792208
MCC Cre -,MCC273,Proximal,0.127,0.55,0.287,0.556,1.88,1.657,1.487,0.63,0.74,0.8,0.97,13.0,1209,94,9400,205.210688,0.02183092425531915
MCC Cre -,MCC273,Distal,0.137,0.587,0.298,0.589,1.93,1.746,1.121,0.68,0.79,0.83,0.73,22.0,2149,92,9200,418.512768,0.04549051826086956
MCC Cre -,MCC276,Basal,0.173,0.622,0.358,0.623,1.53,1.934,1.667,0.86,0.83,0.66,1.09,8.0,625,71,7100,142.81248,0.0201144338028169
MCC Cre -,MCC276,Proximal,0.135,0.57,0.3,0.572,1.82,1.697,1.584,0.67,0.76,0.78,1.035,10.0,950,91,9100,169.57664,0.018634795604395606
MCC Cre -,MCC276,Distal,0.157,0.611,0.32,0.621,1.88,1.839,1.17,0.78,0.83,0.8,0.76,20.0,1818,88,8800,392.74688,0.04463032727272727
MCC Cre +,MCC274,Basal,0.191,0.628,0.386,0.632,1.35,2.023,1.718,0.95,0.84,0.58,1.12,9.0,667,74,7400,158.875072,0.021469604324324324
MCC Cre +,MCC274,Proximal,0.16,0.594,0.335,0.605,1.66,1.848,1.592,0.79,0.81,0.71,1.04,10.0,1003,98,9800,210.32236799999998,0.021461466122448977
MCC Cre +,MCC274,Distal,0.184,0.664,0.346,0.676,1.89,2.011,1.241,0.91,0.9,0.81,0.81,18.0,1645,90,9000,403.428992,0.04482544355555555
MCC Cre +,MCC277,Basal,0.125,0.518,0.304,0.526,1.66,1.616,1.347,0.62,0.7,0.71,0.88,13.0,1022,74,7400,173.873536,0.023496423783783783
MCC Cre +,MCC277,Proximal,0.112,0.525,0.265,0.53,1.97,1.562,1.331,0.55,0.71,0.84,0.87,13.0,1415,99,9900,213.362304,0.02155174787878788
MCC Cre +,MCC277,Distal,0.145,0.607,0.304,0.611,1.955,1.806,1.153,0.72,0.82,0.835,0.75,24.0,2234,94,9400,460.667264,0.04900715574468085
MCC Cre +,MCC282,Basal,0.113,0.496,0.281,0.503,1.68,1.528,1.181,0.56,0.67,0.72,0.77,16.0,1171,70,7000,177.371904,0.025338843428571428
MCC Cre +,MCC282,Proximal,0.095,0.466,0.255,0.472,1.81,1.408,1.275,0.47,0.63,0.78,0.83,15.0,1589,100,10000,205.64064,0.020564064
MCC Cre +,MCC282,Distal,0.128,0.557,0.289,0.56,1.96,1.65,1.032,0.63,0.75,0.84,0.67,25.0,2420,95,9500,433.84025599999995,0.04566739536842105
