Genotype,Animal,Section ID,Layer,Area_um_sq,Major Length um,Minor Length um,Feret diam um,Aspect Ratio,Perimeter um,Eccentricity,NN_Dist_um,Norm Area,Norm Diam,Norm Aspect,Norm Dist,Total_Count,Total_mito_mass,Tiles per Stub,Total_Area_um_sq,Total_Count_per_area,Total_mito_mass_per_area
MCC Cre +,MCC274,MCC274_Stub 1 dot redo,Basal,0.214,0.646,0.413,0.667,1.28,2.126,0.625,1.923,1.06,0.89,0.55,1.25,211,53.618303999999995,23,2300,0.09173913043478261,0.02331230608695652
MCC Cre +,MCC274,MCC274_Stub 1 dot redo,Proximal,0.165,0.599,0.341,0.606,1.655,1.877,0.797,1.537,0.82,0.81,0.71,1.005,336,72.075392,30,3000,0.112,0.024025130666666665
MCC Cre +,MCC274,MCC274_Stub 1 dot redo,Distal,0.193,0.688,0.351,0.702,1.9,2.057,0.85,1.258,0.96,0.94,0.81,0.82,535,137.79136,29,2900,0.18448275862068966,0.047514262068965515
MCC Cre +,MCC274,MCC274_Stub 3 redo,Basal,0.186,0.62,0.378,0.626,1.36,1.94,0.679,1.863,0.92,0.84,0.58,1.21,203,49.771584,23,2300,0.08826086956521739,0.021639819130434782
MCC Cre +,MCC274,MCC274_Stub 3 redo,Proximal,0.145,0.579,0.322,0.59,1.725,1.777,0.814,1.571,0.72,0.79,0.74,1.025,348,68.92384,35,3500,0.09942857142857142,0.019692525714285713
MCC Cre +,MCC274,MCC274_Stub 3 redo,Distal,0.172,0.635,0.335,0.649,1.845,1.917,0.839,1.163,0.85,0.87,0.79,0.76,584,130.938752,31,3100,0.18838709677419355,0.04223830709677419
MCC Cre +,MCC274,MCC274_Stub 4 dot redo,Basal,0.171,0.598,0.369,0.613,1.38,1.937,0.692,1.559,0.85,0.82,0.59,1.02,253,55.485184,28,2800,0.09035714285714286,0.01981613714285714
MCC Cre +,MCC274,MCC274_Stub 4 dot redo,Proximal,0.17,0.622,0.348,0.625,1.61,1.948,0.785,1.724,0.84,0.84,0.69,1.12,319,69.32313599999999,33,3300,0.09666666666666666,0.021007010909090906
MCC Cre +,MCC274,MCC274_Stub 4 dot redo,Distal,0.188,0.678,0.35,0.684,1.915,2.041,0.853,1.346,0.93,0.91,0.82,0.875,526,134.69888,30,3000,0.17533333333333334,0.044899626666666664
MCC Cre +,MCC277,MCC277_Stub 1 dot redo,Basal,0.134,0.532,0.305,0.545,1.745,1.692,0.819,1.3,0.66,0.73,0.75,0.845,444,76.93548799999999,30,3000,0.148,0.025645162666666665
MCC Cre +,MCC277,MCC277_Stub 1 dot redo,Proximal,0.119,0.562,0.267,0.561,1.99,1.638,0.865,1.358,0.59,0.75,0.85,0.89,431,69.198144,32,3200,0.1346875,0.02162442
MCC Cre +,MCC277,MCC277_Stub 1 dot redo,Distal,0.146,0.612,0.306,0.617,1.92,1.845,0.854,1.185,0.72,0.82,0.82,0.77,723,160.53158399999998,31,3100,0.2332258064516129,0.05178438193548386
MCC Cre +,MCC277,MCC277_Stub 5,Basal,0.116,0.497,0.289,0.509,1.62,1.505,0.787,1.221,0.58,0.68,0.69,0.8,275,42.145855999999995,19,1900,0.14473684210526316,0.02218202947368421
MCC Cre +,MCC277,MCC277_Stub 5,Proximal,0.109,0.519,0.261,0.52,2.01,1.569,0.867,1.282,0.54,0.7,0.86,0.84,541,81.765824,34,3400,0.15911764705882353,0.024048771764705882
MCC Cre +,MCC277,MCC277_Stub 5,Distal,0.138,0.601,0.294,0.604,2.05,1.781,0.873,1.161,0.68,0.81,0.88,0.76,797,150.625408,33,3300,0.24151515151515152,0.04564406303030303
MCC Cre +,MCC277,MCC277_Stub 8,Basal,0.125,0.512,0.314,0.518,1.59,1.577,0.777,1.596,0.62,0.69,0.68,1.04,303,54.792192,25,2500,0.1212,0.0219168768
MCC Cre +,MCC277,MCC277_Stub 8,Proximal,0.106,0.511,0.265,0.512,1.88,1.516,0.847,1.371,0.53,0.68,0.8,0.89,443,62.39833599999999,33,3300,0.13424242424242425,0.018908586666666664
MCC Cre +,MCC277,MCC277_Stub 8,Distal,0.151,0.61,0.317,0.612,1.905,1.81,0.851,1.128,0.75,0.82,0.815,0.74,714,149.510272,30,3000,0.238,0.04983675733333333
MCC Cre +,MCC282,MCC282_Stub 1,Basal,0.113,0.515,0.28,0.521,1.76,1.545,0.822,1.239,0.56,0.7,0.75,0.81,351,54.071104,21,2100,0.16714285714285715,0.025748144761904762
MCC Cre +,MCC282,MCC282_Stub 1,Proximal,0.099,0.473,0.259,0.48,1.795,1.443,0.83,1.367,0.49,0.64,0.77,0.89,538,71.477888,35,3500,0.15371428571428572,0.020422253714285712
MCC Cre +,MCC282,MCC282_Stub 1,Distal,0.136,0.571,0.296,0.574,1.94,1.711,0.857,1.081,0.68,0.77,0.83,0.7,798,155.00064,33,3300,0.24181818181818182,0.04696989090909091
MCC Cre +,MCC282,MCC282_Stub 2 dot data,Basal,0.106,0.473,0.267,0.479,1.65,1.475,0.796,1.045,0.53,0.64,0.71,0.68,393,57.303104,22,2200,0.17863636363636365,0.026046865454545452
MCC Cre +,MCC282,MCC282_Stub 2 dot data,Proximal,0.086,0.433,0.243,0.442,1.8,1.331,0.831,1.195,0.43,0.59,0.77,0.78,567,65.548864,32,3200,0.1771875,0.02048402
MCC Cre +,MCC282,MCC282_Stub 2 dot data,Distal,0.111,0.522,0.274,0.527,1.93,1.553,0.856,1.009,0.55,0.7,0.83,0.66,868,139.689856,31,3100,0.28,0.045061243870967736
