Tile,Animal,Genotype,Layer,Stub,Section ID,Area_um_sq,Major Length um,Minor Length um,Feret diam um,Aspect Ratio,Perimeter um,Count,Total_mito_Area_um_sq
Farris 270-B Stub 1 dot Basal_Q1_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.54,0.37,0.55,1.44,1.7,8,1.46
Farris 270-B Stub 1 dot Basal_Q1_Tile_001-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.26,0.76,0.45,0.77,1.71,2.34,8,2.09
Farris 270-B Stub 1 dot Basal_Q1_Tile_002-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.31,0.9,0.42,0.91,2.54,2.59,10,3.11
Farris 270-B Stub 1 dot Basal_Q1_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.23,0.72,0.41,0.71,1.9,2.19,14,3.24
Farris 270-B Stub 1 dot Basal_Q1_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.25,0.82,0.36,0.82,2.34,2.32,6,1.48
Farris 270-B Stub 1 dot Basal_Q1_Tile_006-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.13,0.44,0.36,0.46,1.22,1.52,8,1.02
Farris 270-B Stub 1 dot Basal_Q1_Tile_006-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.51,0.38,0.53,1.35,1.76,10,1.84
Farris 270-B Stub 1 dot Basal_Q1_Tile_007-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.62,0.37,0.63,1.75,1.94,5,0.91
Farris 270-B Stub 1 dot Basal_Q2_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.22,0.73,0.34,0.74,2.24,2.14,15,3.23
Farris 270-B Stub 1 dot Basal_Q2_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.26,0.72,0.43,0.74,1.69,2.25,6,1.58
Farris 270-B Stub 1 dot Basal_Q2_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.31,0.79,0.46,0.81,1.8,2.43,6,1.86
Farris 270-B Stub 1 dot Basal_Q2_Tile_006-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.16,0.67,0.31,0.66,2.4,1.95,8,1.32
Farris 270-B Stub 1 dot Basal_Q2_Tile_006-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.15,0.56,0.31,0.56,1.91,1.7,13,1.91
Farris 270-B Stub 1 dot Basal_Q2_Tile_007-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.2,0.66,0.34,0.67,2.01,1.95,10,1.98
Farris 270-B Stub 1 dot Basal_Q3_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.24,0.71,0.39,0.72,1.87,2.15,9,2.14
Farris 270-B Stub 1 dot Basal_Q3_Tile_001-005.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.24,0.79,0.35,0.79,2.27,2.25,13,3.16
Farris 270-B Stub 1 dot Basal_Q3_Tile_002-003.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.15,0.53,0.31,0.54,1.85,1.62,15,2.2
Farris 270-B Stub 1 dot Basal_Q3_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.65,0.33,0.65,2.04,1.92,22,3.93
Farris 270-B Stub 1 dot Basal_Q4_Tile_001-001.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.31,0.91,0.39,0.92,2.24,2.56,13,4.04
Farris 270-B Stub 1 dot Basal_Q4_Tile_004-002.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.18,0.73,0.32,0.73,2.32,2.07,14,2.55
Farris 270-B Stub 1 dot Basal_Q4_Tile_004-004.tif,MCC270,MCC Cre -,Basal,Stub 1 dot,MCC270_Stub 1 dot,0.14,0.59,0.29,0.6,2.18,1.7,6,0.85
