MCC Cre -,MCC Cre -,MCC Cre -,MCC Cre +,MCC Cre +,MCC Cre +
Basal,Proximal,Distal,Basal,Proximal,Distal
1.7,3.31,1.23,1.37,1.01,4.44
2.09,3.32,2.87,1.16,3.66,1.87
5.6,6.67,2.66,1.32,1.08,2.41
2.0,2.88,6.04,1.01,1.35,4.73
1.67,2.27,1.68,2.05,1.61,1.18
2.49,2.3,3.69,1.12,3.91,1.28
1.02,1.68,4.71,1.48,1.08,1.66
2.39,1.62,2.51,1.7,9.0,4.61
1.76,5.09,4.01,1.03,2.78,1.16
1.97,1.44,3.49,1.74,1.12,1.57
1.5,3.2,1.71,2.72,2.54,12.68
1.17,1.61,2.11,1.17,10.6,1.34
1.83,1.36,3.94,2.04,1.58,2.15
1.53,1.37,1.32,1.49,4.53,2.34
1.64,2.63,1.77,1.1,2.4,1.74
1.74,2.66,4.39,1.24,1.12,2.21
1.55,1.66,2.09,1.22,1.61,1.56
1.57,2.01,2.21,1.28,1.58,2.1
2.53,2.03,1.88,1.38,1.05,1.44
3.38,3.59,1.41,1.22,1.84,1.37
2.32,2.37,2.87,1.11,1.53,1.51
1.41,3.29,2.74,1.86,4.27,1.24
1.34,1.38,11.42,1.74,1.54,1.89
3.34,1.58,1.36,1.28,2.4,1.35
2.25,1.45,1.66,1.05,2.78,1.64
2.79,1.25,7.21,2.39,1.38,1.84
1.4,2.0,4.02,1.31,3.56,1.74
4.18,3.52,1.4,1.17,1.05,1.99
1.2,1.98,1.65,1.16,2.7,2.95
2.68,1.62,3.79,1.09,3.12,6.09
1.38,1.9,2.96,1.12,1.7,3.0
1.42,1.72,2.25,3.23,1.57,1.71
1.26,1.28,1.37,1.09,2.16,6.22
3.04,2.86,1.75,1.14,1.53,3.78
1.39,3.2,4.62,1.12,1.52,1.57
2.33,2.85,1.95,1.23,1.82,8.65
1.43,1.58,3.21,1.36,1.52,1.33
3.68,2.25,2.66,1.99,1.56,4.04
1.52,4.69,1.91,1.3,2.81,1.74
2.88,1.84,3.62,3.61,1.11,5.83
1.63,1.34,1.81,1.51,1.7,1.27
