MCC Cre -,MCC Cre -,MCC Cre -,MCC Cre +,MCC Cre +,MCC Cre +
Basal,Distal,Proximal,Basal,Distal,Proximal
1.46,2.89,1.91,3.25,4.06,2.6
2.09,3.01,1.11,1.31,3.83,2.66
3.11,3.17,1.58,1.53,2.93,4.32
3.24,4.22,0.8,2.99,4.47,2.19
1.48,3.5,0.75,0.88,5.54,3.32
1.02,3.21,1.33,1.61,3.86,3.18
1.84,2.9,2.94,2.94,5.08,2.68
0.91,2.99,1.48,2.19,3.98,2.63
3.23,2.2,1.65,3.62,2.95,2.86
1.58,3.65,1.31,2.49,6.06,1.87
1.86,2.94,2.28,2.45,5.26,2.32
1.32,1.36,1.65,1.87,3.96,2.9
1.91,2.76,1.26,2.9,5.12,4.39
1.98,1.52,1.27,2.63,5.01,1.51
2.14,2.38,2.58,3.26,3.16,1.9
3.16,4.41,0.53,2.24,4.84,3.1
2.2,3.34,2.02,2.7,2.31,0.92
3.93,5.74,1.93,2.77,5.68,2.2
4.04,3.01,0.58,2.04,9.37,1.45
2.55,3.6,0.72,1.15,7.32,1.66
0.85,3.54,0.87,1.92,1.81,2.12
2.64,3.3,2.93,2.08,7.14,2.29
2.22,2.88,1.05,2.79,6.88,1.79
3.32,3.49,1.0,2.39,5.07,2.59
1.52,4.45,1.02,3.12,3.49,1.77
1.97,3.63,1.72,2.09,5.09,2.33
2.45,2.99,1.38,3.07,3.75,1.8
2.03,3.67,1.97,1.3,4.46,2.67
2.05,2.68,2.37,2.15,5.31,3.19
2.61,2.63,1.91,1.36,3.67,0.87
4.3,4.4,2.71,2.23,3.98,1.88
0.58,4.67,2.11,1.7,2.79,2.06
1.01,5.49,2.9,3.26,3.06,1.63
3.31,2.94,2.74,1.49,0.85,2.86
1.47,6.02,3.6,2.22,2.22,2.31
2.79,5.57,2.06,1.76,3.24,1.41
2.58,3.96,1.24,1.8,4.95,2.68
3.0,3.64,1.16,0.83,4.68,2.21
0.58,3.26,1.49,3.06,1.19,2.38
2.56,3.59,2.98,2.25,4.08,1.7
2.82,4.79,1.16,2.26,3.76,1.46
1.67,4.43,1.82,2.44,4.72,3.24
2.34,4.85,1.25,3.08,4.24,1.01
2.44,6.52,1.21,1.77,4.23,3.0
1.23,3.85,1.94,1.38,4.48,2.86
2.98,3.35,1.51,2.76,5.7,1.42
2.06,2.77,1.86,1.27,3.73,2.07
2.05,5.22,1.9,2.38,4.3,1.74
3.99,3.15,0.82,2.77,5.06,1.8
2.11,5.41,0.9,0.6,5.98,0.5
2.29,4.73,1.75,1.64,3.3,1.87
2.38,3.73,3.15,1.78,5.24,1.92
1.32,4.75,2.96,1.24,3.59,0.9
2.55,2.34,2.97,2.46,3.41,2.86
2.55,3.42,1.44,2.99,4.18,1.93
3.28,3.41,2.78,1.6,6.47,2.07
1.24,3.44,2.57,0.93,6.24,1.92
2.21,4.2,2.23,2.18,5.63,1.11
3.02,2.88,1.42,1.08,8.18,3.15
2.86,6.3,1.06,2.55,3.79,1.76
1.6,4.01,2.34,0.79,2.53,2.07
1.98,6.6,3.37,3.21,3.23,2.86
2.94,5.03,3.87,0.82,4.88,2.13
2.26,3.53,2.36,1.72,2.44,0.92
4.04,4.8,1.43,2.39,4.68,1.24
3.67,5.3,2.43,2.52,3.97,1.97
0.91,7.19,2.22,0.96,2.31,2.47
2.96,3.52,1.6,1.06,3.98,2.46
4.11,4.25,1.15,4.03,2.49,2.69
3.05,4.72,2.48,1.62,5.89,1.79
1.45,4.6,1.37,1.66,2.93,1.11
2.67,4.87,2.07,2.21,6.07,1.83
2.43,5.54,4.29,2.08,4.14,0.77
2.39,5.44,2.83,4.96,6.82,2.42
2.55,6.88,3.06,2.85,3.72,1.49
1.11,4.02,1.8,3.15,4.99,1.33
2.19,4.95,1.81,2.9,4.14,2.59
1.86,5.69,2.41,1.21,3.25,3.3
2.76,4.62,1.25,1.39,5.77,2.99
1.73,4.18,1.84,2.69,4.18,2.25
1.3,5.55,2.48,1.38,5.42,2.05
0.93,3.7,2.77,2.91,4.12,3.3
1.1,4.31,2.29,3.19,4.2,2.48
2.33,2.88,0.96,3.72,4.37,2.64
2.37,2.73,1.12,4.19,2.39,1.88
3.27,3.59,2.36,5.85,7.1,2.59
1.79,4.09,2.22,2.51,5.24,1.27
1.2,3.96,1.9,3.55,4.56,1.87
0.59,4.6,2.03,2.19,7.99,1.76
1.12,3.95,3.31,2.26,6.88,2.11
1.18,3.64,1.84,2.89,7.92,3.02
1.43,6.72,1.3,2.89,2.91,1.66
1.54,4.83,2.58,2.85,4.15,1.35
1.35,3.89,1.26,2.42,4.75,1.21
3.03,5.1,0.85,2.65,4.8,1.51
1.77,2.79,4.1,1.51,3.89,1.85
2.17,5.01,1.47,2.21,5.77,2.41
1.97,5.42,1.73,2.04,6.12,2.89
2.6,3.53,0.94,3.23,5.24,2.57
2.27,2.51,1.24,3.64,4.7,2.45
1.75,2.61,1.46,0.88,4.7,0.42
1.09,3.59,2.01,0.72,5.2,2.85
1.77,3.66,0.85,1.1,3.09,3.24
2.37,4.19,1.35,1.97,4.86,2.11
2.74,4.04,0.3,2.1,6.68,2.21
2.83,3.56,0.58,2.31,7.21,1.94
2.5,4.91,1.58,0.74,4.12,2.39
0.84,2.46,0.94,1.64,7.0,2.63
4.0,4.87,1.04,3.06,6.31,1.96
3.25,4.6,0.63,3.0,4.35,0.79
3.57,5.79,2.66,1.14,6.58,1.92
0.92,5.3,2.16,2.91,7.17,2.17
5.55,4.21,1.04,3.26,4.62,1.93
2.54,4.11,0.82,1.74,5.07,3.43
1.78,6.19,1.5,1.28,6.09,2.56
2.77,4.49,1.45,2.37,3.94,1.88
2.87,5.28,1.29,2.29,4.01,1.78
2.2,4.45,1.04,3.31,3.32,2.04
2.26,4.57,1.53,1.98,5.04,1.39
1.32,4.83,1.72,1.15,6.51,2.59
1.96,4.98,0.61,3.24,4.38,1.5
3.06,5.73,0.33,2.18,4.26,3.58
3.25,5.19,0.91,2.43,4.66,2.13
3.34,3.53,3.25,1.88,5.35,2.22
1.91,5.42,0.66,2.84,3.87,1.9
1.77,4.06,1.73,2.59,4.98,2.24
1.99,4.2,1.19,2.68,5.04,1.99
1.64,5.34,2.49,3.39,4.87,1.53
1.97,3.02,3.51,2.58,5.25,3.07
2.74,5.99,3.23,2.12,3.44,1.78
3.7,3.84,2.83,3.45,3.29,1.66
2.29,4.11,0.84,1.16,6.05,3.44
2.5,3.84,2.8,3.47,3.46,3.54
1.4,5.22,1.73,1.99,5.32,2.02
1.13,4.52,2.92,2.37,4.58,3.48
2.51,4.62,2.34,1.02,4.37,1.88
1.16,4.09,4.22,2.82,3.74,2.61
1.35,3.33,3.02,2.66,2.4,1.86
1.7,4.41,3.53,2.78,4.73,1.75
2.17,3.67,1.37,3.02,3.86,3.75
1.99,3.36,2.78,2.8,5.65,1.77
2.05,3.58,1.94,1.27,2.83,1.86
2.92,5.98,2.07,1.32,5.54,1.91
2.23,4.15,2.29,1.0,3.02,2.71
1.81,3.77,3.1,1.41,5.19,2.46
3.02,3.14,1.74,0.63,3.79,1.8
1.91,3.54,2.84,1.95,3.89,2.17
1.45,5.21,1.52,1.59,7.27,2.51
1.82,4.58,2.37,2.32,3.71,1.95
0.8,5.75,2.94,2.69,4.91,2.18
2.2,3.81,0.97,1.58,5.82,2.49
1.83,5.22,2.63,2.65,5.25,1.92
1.61,4.71,2.52,1.99,3.78,1.93
1.27,6.27,3.4,2.77,6.43,2.94
2.38,5.62,2.84,2.03,4.47,1.27
2.29,3.69,2.26,2.03,6.04,3.16
2.44,3.0,2.33,3.11,4.76,3.19
1.74,4.08,0.95,3.02,4.22,2.35
2.3,5.85,2.75,3.43,4.66,2.15
1.98,5.45,1.57,2.57,4.97,2.42
1.88,4.45,1.75,2.02,5.32,3.33
1.51,5.87,1.62,4.7,4.45,2.75
3.84,3.58,1.69,1.4,4.14,2.8
2.37,4.77,1.5,2.9,4.77,1.73
2.77,3.4,2.07,2.09,7.35,1.9
2.72,4.65,2.39,3.18,6.65,1.5
1.37,2.26,1.03,2.16,3.48,1.56
3.2,4.28,2.94,2.9,4.3,2.11
1.12,4.54,1.77,2.52,3.78,2.37
3.31,3.93,2.41,1.09,5.54,1.13
1.86,2.73,3.62,1.32,5.53,1.43
1.59,5.39,2.18,2.47,5.03,2.82
1.89,4.42,2.14,1.6,5.63,1.16
3.06,3.98,2.03,2.03,3.51,1.28
1.23,2.98,1.95,2.46,4.44,3.19
1.83,5.5,2.96,3.26,3.43,1.86
1.87,5.69,1.72,4.89,5.32,1.82
3.37,6.32,1.0,3.27,5.49,1.49
1.69,4.51,0.8,1.68,5.05,2.06
1.68,2.0,0.7,1.39,6.32,2.23
0.57,4.29,2.51,2.45,6.75,1.73
0.84,3.43,0.85,4.05,5.03,2.6
1.44,5.46,3.51,1.68,4.68,1.77
3.21,5.73,1.58,2.59,4.41,1.14
2.85,4.95,1.49,2.74,4.1,1.32
1.56,2.9,1.76,4.09,4.23,2.43
2.28,3.1,2.27,2.6,3.41,2.19
